matchId,puuid,summonerName,championName,kills,deaths,assists,win,goldEarned,damageDealtToChampions
KR_7858254806,kACE1Fx4R6Xu1K4_8Q7Z4uOxhdRmMBsi_y1XmeHdCgDot9ZmzDlnGRSE9ZeRCCx5bNbOYFnUZACsHA,,RekSai,5,3,0,True,9521,17869
KR_7858254806,I7KPt2KkCfR4JMhY2GDjc5g0-LZg5_1wnICS7RddX5dXa-g6T_69jvq9OiDU7qXxKC9tp42JzKYK8A,,LeeSin,7,2,9,True,10084,13383
KR_7858254806,2no2DfPxOMX0rJ_IUyu8BruJAUP58vfRdX0PhhGgJBePDRlgev43Pt_0bThGy6gm_VaG1NF_LZntsA,,Jayce,6,4,7,True,9400,17487
KR_7858254806,yYI7Eu6_VZ3jzsTS2myYvCu5fXwSxuw2w_YltEOd7nQRxeukc3bCYbJToT8ob7LJpac_JhsjsJ-tWg,,Ziggs,4,3,8,True,10385,18399
KR_7858254806,i563qEeCFKxSlsKAZZUD-wcMWDD5Pblk3felzeNcKWnRBtSBCuWXwuSueWEn4wWGQ0SCBao3d8Gjaw,,Pyke,2,5,11,True,6761,9376
KR_7858254806,VZpoWLHA8RRL81RGsCWQsWtQ85laktqav6rtrpbsM13846IHyShHtPtBPDGPUsz44EpLKsVec-LAIQ,,KSante,0,5,5,False,7224,18732
KR_7858254806,UnH1HTovykr1UU-3C8PzbypG89JQhJxElywqP-IDPYoAZ07D44TWl9TTrDOCme_sBXgi-k-XhzpC8Q,,MonkeyKing,4,4,2,False,8793,9748
KR_7858254806,JPD5VLu-0vLjRlhNkICx59y53_J5wsl9UTe3cDT6onkBgybshGcltPQIkn3Z-oidM7ISGqDj92Tr8g,,Zoe,4,2,8,False,7971,19503
KR_7858254806,VMR7sqAUhT_5rrg7gvOrHSXQ8Bgxdh3tWpdySrSYOVyXCvX9Njv_sr-fDQDdh6yGyKSl2ELuLoFQBw,,Kaisa,7,4,2,False,9472,12717
KR_7858254806,ssuahJeJF15cA5n5gEZTYuub3sHSGDyiksIX138lQgG8b_h7jm-_gWujNKayjTery8RxPOx_5zQu4g,,Rakan,2,9,7,False,5882,5042
KR_7858151244,93zF_d5IsQwp-zvvj5alx8AFR3CdNzA3Bvc0cHtqhd1Br5LCpCiQ5bLptnwvtSJGEMZwXT4J7ZxHZQ,,Cassiopeia,2,6,11,True,9840,17447
KR_7858151244,5l6o6NfnbTwq_iqna4UI1T9wfL4F09QoBGzEJZTuMbH79bHnk5MWsYEg5Kx7SUNnCryPVPu1YRWHTA,,Viego,7,3,9,True,12946,17199
KR_7858151244,2no2DfPxOMX0rJ_IUyu8BruJAUP58vfRdX0PhhGgJBePDRlgev43Pt_0bThGy6gm_VaG1NF_LZntsA,,Lissandra,3,0,12,True,13012,25527
KR_7858151244,0fQQmykKWMJWOLfVCs0ebigdIB2FCG-oTJ7l8ZpxcSdAPxlu7xF2ILNPkvT2rtTrDojpJDdbUEoU5w,,Aphelios,17,5,7,True,18688,43435
KR_7858151244,lVRoTnTPh8aMEC-yETUdCxW-qfJtdukF_B-MDnAF6WV8pYDgOoZktFjj6WioPwyvEzdUd6EIdvKVJw,,Poppy,1,7,23,True,9609,15173
KR_7858151244,I4wM4EMul3FVwJ3Wv_IzVmfebh3YCJXqf36nrKPPJUlBifjtIQK5S3XzkOi6CA6GVScxewsT4wGKtw,,Darius,5,3,6,False,12953,16459
KR_7858151244,HaR4c3hgwQNrTj4o_tDCGJIO2VS2uW75W40UeNh2mA39XAHztTYu1w7f323fXPiDKWB55dzGfYnoXg,,LeeSin,5,5,10,False,13447,20141
KR_7858151244,ZaLucwY-pc9bOPeRu5JLyRLr6RqMFbzpQBx2GaYJPxoXfVzY2iu6Be4FntEGFBjkX8zeLO7jWd8EZA,,Leblanc,4,4,5,False,10319,25387
KR_7858151244,_VR7Gc6_p4-k9WYthmr8GjtfxZOCZJkxFr1HL8V7lNBh8MQKCP0QW8ZR7SJldQ7jMjSl0LxCaaDA4w,,Kaisa,7,5,3,False,13477,18850
KR_7858151244,5_F5E28xBaI8sETUJzEMOchxHbOLy8d56w8VS8EfWuAFa0tPBON-7itR179eTXGelvTIZ57q6bkVDQ,,Blitzcrank,0,13,13,False,7322,10829
KR_7858019563,I4wM4EMul3FVwJ3Wv_IzVmfebh3YCJXqf36nrKPPJUlBifjtIQK5S3XzkOi6CA6GVScxewsT4wGKtw,,Darius,14,1,4,True,15121,22961
KR_7858019563,esj-Vxk7kQxTL9uQoWQfU6JqQfry4qK2B-m97e0u3oE2uBKWYfl5P6e7JkIJCoBTerrPqqlcU_WO4g,,Sylas,10,3,20,True,14698,24445
KR_7858019563,ZyLgYOvx7O3Op5RbVGpQvHPpqjeX35CuDkdPcQZ8Wqg1cSmcGXmrGg5IqDxsB1p99Xa_p8NJE6bM2A,,Lissandra,9,3,13,True,13953,29261
KR_7858019563,cBqZjVLi6XekY5zblcCXavt4hyVWiqToCrt4WI-c6XoPglrJK5l3tcxHrtEOX1K5TSpMCJevHjvMNQ,,Ashe,2,4,16,True,12298,21098
KR_7858019563,04n0H65pjoFFpVJz7BxzjXShx9RI2XCLqdOkwTNZg9L6QvhZDjzkEy2LNQGy07WLsLSSoPm4X4v65A,,Pantheon,6,7,16,True,10658,27767
KR_7858019563,wqJb6kwNKx4Z1kiGgKWq5PbqTe872ZbEkw5V5pBWpqxgCB_81hH7Pyc-xbTkhxpSTix56dB-CDWeeA,,Renekton,1,6,4,False,9631,11691
KR_7858019563,AqSTnABA5I_PshsHgRNhVSxnYx6ewL5U8sbiRif4WwqYqAGXsY7DjQvR37VUKL5R0ZW8rYv77jDamg,,LeeSin,5,9,3,False,10299,17180
KR_7858019563,2no2DfPxOMX0rJ_IUyu8BruJAUP58vfRdX0PhhGgJBePDRlgev43Pt_0bThGy6gm_VaG1NF_LZntsA,,Leblanc,6,5,2,False,12124,25770
KR_7858019563,U1QGgkmAaUt0Vh9jFgDZ_On4BiuTKGJmM_FQ1AiVzrBUhGSn_pSwkUA5bkwblHCQb7aZKVbzAsW5Og,,Jhin,5,11,7,False,11012,17419
KR_7858019563,4LWqtRfHcL7bvmtVekAYtOE45laXbsLOPvJNbrqL7V1JUzPNrRsLYSBBL97OaEkQeqUKAcZrK-N2MA,,Bard,1,10,12,False,7137,9144
KR_7857352690,TWW8EGTmy1xq-01p7qqBEXn-Zm4HUJzSDimrXfTzfSqXAQw5PRXNwob9ashFdRTdH_gxxbaJ1sF09Q,,Maokai,7,5,6,False,12500,24904
KR_7857352690,1G3a-n5Eq0w3Zu_-fXN7heC48JKd_qDEd14bLHbPbYQ0peRXkhzloOqllordHlwhwYri-zTndWVUCQ,,Shen,6,8,7,False,11100,40707
KR_7857352690,wvPWA9UmwzJOGhJWT_NETq-j2OJFvEVf0WbJRZBE9NN_XvTxaAevtsHVsF_NCNrFH7u9-XLTZgMGaA,,Fiora,9,5,3,True,13250,47296
KR_7857352690,O-78WCY7deHJzyCjDezbSC1rNeDVAKnRtHf1RcZSkr5hFRG0cXDk0X_DXkpepOmKDNs7PFUXPMCwjQ,,Volibear,4,7,7,True,12600,36145
KR_7857352690,ofsQF4vcXkctomnLxIPOjDnlgrjJPKlBPHxEc0sh20XIUSzaP92tQnDQawZdIC_Z5whACTc5AUJeoA,,Kaisa,11,8,2,True,10800,63170
KR_7857352690,UnLOzBXx7YvalUhQqPHJIkyQBJ5N_Qit6F2WmswpR92r68MolorA5JsGkDz8F8vYsBF_j9SnQ7XykQ,,Annie,2,9,5,False,10000,18242
KR_7857352690,OrjW2PFUenL2CH5oZOmscCpaCD8ybjjCSVo5adrj6tgSuFJgH3B_Okzk0ayNfP1QndrYW_kqgqUG_A,,Jhin,5,7,2,False,10000,27236
KR_7857352690,LByIGU8mHgUq4A6XYlQ2LL4ZJUgQO22a_oluAoKep7aGUmlCNeLeNxJItZC3sACieuKz4TSQ-s3Zqg,,Sett,4,9,5,False,11550,25358
KR_7857352690,k_jgseRtZCB7PavgZZKTKrUw5yvgmCMyQDqAr5U6OZehRhXFTHwOyW8IJJ2kor4VUu8wxeUlYjA-NA,,Rammus,13,4,6,True,17000,42203
KR_7857352690,B24sRqRlEFImlFXOQM75S8IEibtFdeVm_urZZACyJOjw_ZpJPXkHluosOzc7aXh4hz7DS4QWZlqB_A,,Morgana,5,8,12,True,15650,30543
KR_7857352690,5fjQtkENo-pwyzOuORAe-Sn-IcKYwtJgVGeY0rNGkVZL8nCiVSRw7JoJ4d-u9PvbgkpKQuZYxJcw9A,,Morgana,2,7,10,True,13250,15989
KR_7857352690,m6q0ASqEQZ-Qc4p5TrcX0I-HBHrWFYaI9Zw1iHCzu6_HwimPu5UUTeWLwEcMbB09mTbXRIOPT5ABaQ,,Sona,5,6,4,False,10110,17530
KR_7857352690,vGXQ997_nWgV1KzJy-hgozHlIGK8gn4fR8atPiKdoHa1wcAR8k8KAP_ywLZAGG6Uogqwfyvg8kkbcg,,Smolder,8,6,11,True,16602,47698
KR_7857352690,sDfjAmUsg91q47b0DlIw5h-nCfdXtr4bnOw4fOweF0PRSRVsW6fl71vKDrAgFltkCmTVq6PYoiZtjA,,Jhin,14,8,4,True,20900,80068
KR_7857352690,2no2DfPxOMX0rJ_IUyu8BruJAUP58vfRdX0PhhGgJBePDRlgev43Pt_0bThGy6gm_VaG1NF_LZntsA,,Taliyah,9,6,3,False,11350,28621
KR_7857352690,AL5d2adKlm29wqRHyE6yrNR7ZgtibK5dh50tAC6ZvxVzEuhqKaNc0CHiulUnVFzsYydHKW3QwlWKCQ,,Irelia,4,6,8,False,11800,30634
KR_7856448015,2no2DfPxOMX0rJ_IUyu8BruJAUP58vfRdX0PhhGgJBePDRlgev43Pt_0bThGy6gm_VaG1NF_LZntsA,,Azir,5,1,16,True,14645,37487
KR_7856448015,Fawn_3NGlukzPSgi0IU3TtKhtm3E4ZUMwkoeyBPL_NMMlEEr1A-HB_hT65DW0j9tk3WdW-DVh0EJAg,,Qiyana,11,2,5,True,14620,24428
KR_7856448015,MI_emi1mKjJ49nRsyqILM2BuIbL7KEijlHPv7FXZzvr2autKZus8HBhiVI8TlacMResHOdnP5QV1yA,,Syndra,6,6,7,True,11576,26528
